chain,address,name,category,secondary_category,source,source_url,tier
ethereum,0xf45ecc3a59c7911181c659ce9115854c6175be91,Behzad Mesri,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x48549a34ae37b12f6a30566245176994e17c6b4a,Chatex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x5512d943ed1f7c8a43f3435c85f7ab68b30121b0,Chatex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x67d40ee1a85bf4a4bb7ffae16de985e8427b6b45,Chatex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x6f1ca141a28907f78ebaa64fb83a9088b02a8352,Chatex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xc455f7fd3e0e12afd51fba5c106909934d8a0e4a,Chatex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x0931ca4d13bb4ba75d9b7132ab690265d749a5e7,Cryptex,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xbb69e01921b17cd22080968bcc96ba6115da6062,Crypto Home Dmcc,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7f367cc41522ce07553e823bf3be79a889debe1b,Danil Potekhin,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,Dmitrii Karasavidi,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x1d19b52b54e7ef5ea1a4b40b616165e798eac9f8,Dmytro Rashevskyi,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x2c7dcd774b33e10367f7d6385479e04f97d179dc,Dmytro Rashevskyi,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x2711d73d559f62f4f855ee21f38378f528e07985,First Vpn Service,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xd5ed34b52ac4ab84d8fa8a231a3218bbf01ed510,Funnull Technology Inc,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x57ec89a0c056163a0314e413320f9b3abe761259,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7ced75026204ac29c34bea98905d4c949f27361e,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7ff9cfad3877f21d41da833e2f775db0569ee3d9,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x8dce2aac0de82bdcaf6b4373b79f94331b8e4995,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xb338962b92cd818d6aef0a32a9ecd01212a71f33,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xd8500c631dc32fa18645b7436344a99e4825e10e,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xf4377eda661e04b6dda78969796ed31658d602d4,Garantex Europe Ou,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x175d44451403edf28469df03a9280c1197adb92c,Gaza Now,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x21b8d56bda776bbe68655a16895afd96f5534fed,Gaza Now,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xe950dc316b836e4eefb8308bf32bf7c72a1358ff,Gaza Now,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x4f47bc496083c727c5fbe3ce9cdf2b0f6496270c,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x747afb5c7a7fc34b547cd0fdebf9b91759c5a52b,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x76ea76ca4eb727f18956ab93445a94c5280412b9,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xd04e33461fea8302c5e1e13895b60cee8aefda7f,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xfb3eff152ea55d1bfa04dbdd509a80fd7b72cdeb,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xfda1ec4a6178d4916b001a065422d31ebe5f62ff,Hyon Sop Sim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x11069987e8507d0669c870b578cc9f9b4017d127,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0x7eab248c014d1043e54e96ac4f31ec7d9a97ffd3,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0x99d29380a2e37c04e4fe75111b7d410674a6cab3,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xad92a818e26fc3dbce7a1972308a4a86f54dd683,Israel NBCTF sanctioned wallet,sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
